source_id,source_num,fileId,fileId_short,x,y,width,height,rotation,opacity,region_id,initial_subregion,combined_pass,initial_meaning,nearest_labels_for_search_only,coverage_status,decision_is_final,review_notes,current_region_decision,must_recheck_before_region_close
S-008,8,64277fead6b7a4f54d80a5d570235607eb553118,64277fead6,4316.489,505.339,944.0,482.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-019: multiplexer + idatabase | L-018: redis through idistributed cache vs | L-001: multiplexer | L-009: this is about data being lost,",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
S-007,7,a3b2562b62d0d428d2997d43258be6f560fa2b5e,a3b2562b62,3804.426,1009.4,682.0,392.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-019: multiplexer + idatabase | L-018: redis through idistributed cache vs | L-001: multiplexer | L-002: atomic counters, race conditions with idatabase",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
S-006,6,68bb88e6f48ec0cd50af89c0b4960ff693d21fdd,68bb88e6f4,3804.592,1430.455,935.0,281.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-019: multiplexer + idatabase | L-018: redis through idistributed cache vs | L-001: multiplexer | L-009: this is about data being lost,",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
S-005,5,6ae8cbf21f38b69211cdc459c3418c64bd196415,6ae8cbf21f,3821.148,1709.955,873.0,382.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-001: multiplexer | L-019: multiplexer + idatabase | L-018: redis through idistributed cache vs | L-009: this is about data being lost,",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
S-004,4,d5b989884a9d7dee25d67da5eaeace20b0977f89,d5b989884a,3831.87,2106.233,896.0,465.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-001: multiplexer | L-009: this is about data being lost, | L-019: multiplexer + idatabase | L-010: multiple concurrent requests",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
S-003,3,a99ebee07fb109821203b32d66bfe423520bbae5,a99ebee07f,4890.082,1053.706,810.0,482.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-019: multiplexer + idatabase | L-018: redis through idistributed cache vs | L-001: multiplexer | L-009: this is about data being lost,",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
S-002,2,751a5f4b75d21512e47da8285f06161af3b3f198,751a5f4b75,4909.078,1548.233,897.0,466.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-019: multiplexer + idatabase | L-018: redis through idistributed cache vs | L-001: multiplexer | L-009: this is about data being lost,",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
S-001,1,9f0d3167e4903520381ca2734bdb0256f5b3ee68,9f0d3167e4,4425.557,2648.271,667.0,482.0,0.0,1,R02,connectionmultiplexer-idatabase-vs-idistributedcache,P01-R01-R02,"ConnectionMultiplexer and IDatabase vs IDistributedCache, direct Redis operations, shared multiplexer usage and registration concerns.","L-009: this is about data being lost, | L-010: multiple concurrent requests | L-011: one gets  5 | L-012: another sets  5 +1",processed-in-r02-v001,yes-for-r02-v001-boundary,"R02 processed after P01 boundary review: ConnectionMultiplexer, IDatabase, direct Redis operations, IDistributedCache comparison and registration concerns.",R02,no-for-r02-v001
